,Средняя оценка,Факультет,Законченных семестров,Ступень_образования,Отчислен,Год_поступления,Пол
998,3.95,МТ,12,Специалист,False,2013,М
999,3.47,МТ,12,Специалист,True,2012,М
1000,3.53,МТ,3,Специалист,True,2012,М
1004,4.88,МТ,10,Специалист,True,2007,М
1009,3.9,МТ,7,Б,True,2013,М
1010,3.4,МТ,1,Б,True,2014,М
1011,3.69,МТ,8,Б,False,2015,М
1012,3.86,МТ,8,Б,False,2015,М
1070,3.53,МТ,11,Специалист,False,2009,М
1071,4.12,МТ,11,Специалист,False,2009,М
1073,4.82,МТ,12,Специалист,False,2010,М
1074,4.23,МТ,10,Специалист,True,2012,М
1075,4.65,МТ,11,Специалист,False,2011,М
1076,3.55,МТ,12,Специалист,False,2012,М
1088,3.2,МТ,1,Специалист,True,2011,М
1159,3.68,МТ,11,Специалист,False,2009,М
1160,3.11,МТ,2,Б,True,2014,М
1161,4.0,МТ,1,М,True,2017,М
1162,4.68,МТ,4,М,False,2017,М
1165,4.06,МТ,7,Специалист,True,2011,М
1166,4.03,МТ,7,Специалист,True,2011,М
1167,4.06,МТ,7,Б,True,2012,М
1168,4.82,МТ,8,Б,False,2016,М
1169,4.88,МТ,4,М,False,2015,М
1170,4.76,МТ,4,М,False,2016,М
1224,4.7,МТ,9,Специалист,True,2007,М
1225,3.38,МТ,9,Специалист,True,2007,М
1226,4.24,МТ,11,Специалист,False,2009,М
1227,4.39,МТ,12,Специалист,True,2013,М
1228,3.83,МТ,12,Специалист,False,2014,М
1229,4.41,МТ,12,Специалист,False,2014,М
1230,4.71,МТ,10,Специалист,True,2011,М
1231,3.22,МТ,2,Специалист,True,2011,М
1235,3.1,МТ,2,Специалист,True,2015,М
1247,4.78,МТ,8,Б,False,2013,М
1248,4.16,МТ,8,Б,False,2014,М
1249,3.66,МТ,8,Б,False,2015,М
1339,4.75,МТ,11,Специалист,True,2013,М
1340,3.45,МТ,11,Специалист,False,2007,М
1341,5.0,МТ,9,Специалист,True,2011,М
1342,4.07,МТ,11,Специалист,False,2011,М
1343,3.76,МТ,11,Специалист,False,2011,М
1344,4.74,МТ,12,Специалист,False,2012,М
1345,4.84,МТ,11,Специалист,True,2014,М
1346,4.76,МТ,11,Специалист,True,2014,М
1347,3.04,МТ,5,Специалист,True,2010,М
1348,3.4,МТ,1,Специалист,True,2011,М
1440,3.64,МТ,10,Специалист,True,2007,М
1441,4.24,МТ,11,Специалист,False,2009,М
1442,4.31,МТ,12,Специалист,False,2010,М
1443,4.03,МТ,11,Специалист,False,2008,М
1444,4.42,МТ,12,Специалист,False,2010,М
1445,4.19,МТ,12,Специалист,False,2010,М
1446,4.03,МТ,12,Специалист,False,2010,М
1448,4.77,МТ,8,Б,False,2014,М
1449,3.0,МТ,5,Специалист,True,2007,М
1459,3.73,МТ,2,Б,True,2017,М
1463,5.0,МТ,7,Специалист,True,2012,М
1464,3.2,МТ,2,Специалист,True,2013,М
1465,3.47,МТ,7,Б,True,2014,М
1466,4.11,МТ,8,Б,False,2015,М
1468,3.89,МТ,8,Специалист,True,2009,М
1473,4.94,МТ,4,М,False,2015,М
1474,5.0,МТ,4,М,False,2016,М
1586,4.49,МТ,11,Специалист,False,2010,М
1587,3.36,МТ,11,Специалист,False,2011,М
1589,3.7,МТ,2,Специалист,True,2011,М
1591,3.58,МТ,5,Специалист,True,2014,М
1592,3.0,МТ,2,Специалист,True,2009,М
1628,3.86,МТ,10,Специалист,True,2007,М
1629,4.75,МТ,8,Б,False,2013,М
1630,4.11,МТ,8,Б,False,2014,М
1631,4.68,МТ,8,Б,False,2015,М
1632,5.0,МТ,4,М,False,2017,М
1633,4.81,МТ,4,М,False,2018,М
1635,3.2,МТ,1,Специалист,True,2007,М
1674,3.36,МТ,9,Специалист,True,2007,М
1675,3.61,МТ,11,Специалист,True,2008,М
1676,4.76,МТ,11,Специалист,False,2009,М
1677,3.76,МТ,12,Специалист,True,2007,М
1678,3.79,МТ,11,Специалист,True,2012,М
1679,4.68,МТ,11,Специалист,False,2009,М
1681,4.48,МТ,10,Специалист,True,2011,М
1682,4.69,МТ,11,Специалист,True,2013,М
1683,4.62,МТ,11,Специалист,True,2013,М
1684,3.3,МТ,2,Специалист,True,2010,М
1686,3.1,МТ,2,Специалист,True,2016,М
1703,3.6,МТ,2,Специалист,True,2016,М
1709,4.47,МТ,4,М,False,2015,М
1710,4.12,МТ,4,М,False,2016,М
1805,4.38,МТ,11,Специалист,False,2009,М
1806,4.9,МТ,11,Специалист,True,2013,М
1807,3.89,МТ,10,Специалист,True,2008,М
1808,3.89,МТ,9,Специалист,True,2010,М
1810,3.9,МТ,11,Специалист,False,2011,М
1811,4.46,МТ,12,Специалист,False,2012,М
1812,3.66,МТ,12,Специалист,True,2013,М
1814,3.73,МТ,3,Специалист,True,2013,М
1825,3.38,МТ,5,Специалист,True,2012,М
1899,3.28,МТ,9,Специалист,True,2010,М
1901,4.31,МТ,8,Б,False,2015,М
1918,4.1,МТ,10,Специалист,True,2007,М
1919,3.18,МТ,11,Специалист,False,2009,М
1920,3.69,МТ,11,Специалист,True,2008,М
1921,3.79,МТ,9,Специалист,True,2012,М
1922,4.2,МТ,10,Специалист,True,2007,М
1923,3.52,МТ,10,Специалист,True,2007,М
1924,4.35,МТ,11,Специалист,False,2009,М
1925,3.94,МТ,10,Специалист,True,2010,М
1926,3.44,МТ,2,Специалист,True,2011,М
1939,3.2,МТ,1,Специалист,True,2010,М
1940,3.16,МТ,4,Специалист,True,2011,М
1941,4.2,МТ,8,Б,False,2014,М
1943,3.35,МТ,4,Специалист,True,2007,М
1944,3.26,МТ,8,Специалист,True,2007,М
2044,4.04,МТ,10,Специалист,True,2007,М
2045,3.75,МТ,10,Специалист,True,2007,М
2046,3.55,МТ,11,Специалист,False,2008,М
2047,3.51,МТ,12,Специалист,False,2013,М
2048,3.7,МТ,9,Специалист,True,2011,М
2050,3.0,МТ,1,Специалист,True,2016,М
